title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
The Algorithm Thinks I'm a Boat,rap,MC Deliverable,2016,80115,{},"[Verse 1]
I clicked one link about a lake
One link, one time, one small mistake
Now it's hulls and it's rudders and it's marine supply
And an advert for a mast, and I don't know why

[Chorus]
The algorithm thinks I'm a boat
The algorithm is sure
It has offered me a berth in Portsmouth
And a very reasonable moor",88,en,en,en
Two-Factor Heartbreak,rb,Velveeta Moonbeam,2017,55401,{},"[Verse 1]
You sent the code to a number I lost
In a phone at the bottom of a lake
The lake is in a country I no longer visit
For a fairly complicated sake

[Chorus]
Two-factor heartbreak
Two-factor grief
I have the password to everything
And access to no relief",89,en,en,en
"Voice Assistant, Wrong Answer, Ten Years",misc,The Reverend Peppers,1996,19008,{},"[Verse 1]
I asked it once about the weather
It told me about a war
I asked it once about my mother
It played a song I'd never heard before

[Chorus]
Voice assistant, wrong answer, ten years
Voice assistant, undeterred
It has never once been right about anything
And it has never once been unsure",90,en,en,en
I Am the Third-Best Uncle,country,Bronze Medal Barry,2006,30229,{},"[Verse 1]
Uncle Ray has got the boat
Uncle Phil has got the jokes
I have got a decent car
And a bag of interesting rocks

[Chorus]
I am the third-best uncle
Bronze in a field of three
The children like me adequately
And that is enough for me",91,en,en,en
"Gym Membership, Year Eleven",rock,The Beige Alarmists,2019,58330,{},"[Verse 1]
I signed in January of a hopeful year
I went on the Tuesday, I went with cheer
I have paid every month since that bright day
And I have been back exactly one way

[Chorus]
Gym membership, year eleven
Gym membership, no gym
They send me a birthday email
And I weep and reply to him",92,en,en,en
Last Place in a Race of One,pop,Quackrid,2019,64110,{},"[Verse 1]
They fired the gun, I began to run
I was the only entrant, the only son
I stopped for a drink, I stopped for a think
I stopped for a look at the sun

[Chorus]
Last place in a race of one
Last place and also first
I have won and I have lost at once
And the losing part was worse",93,en,en,en
"Fantasy League, Actual Grief",rap,Lil Paperwork,2015,49812,{},"[Verse 1]
I drafted him in August with a heart full of belief
He pulled a hamstring warming up in week one, brief
I have cried about a man I've never met
Over points that don't exist yet

[Chorus]
Fantasy league, actual grief
Fantasy league, real tears
I am mourning a hypothetical
In front of my actual peers",94,en,en,en
Sneezed During the Penalty,rock,Office Kitchen Massacre,2014,36990,{},"[Verse 1]
Ninety minutes, nil and nil
One kick to end the century
The keeper crouched, the striker stepped
And my sinuses betrayed me

[Chorus]
Sneezed during the penalty
Sneezed and missed it all
Fifty thousand people saw the goal
And I saw the inside of a shawl",95,en,en,en
My Personal Best Was in 1998,misc,Grand Uncle Nebula,1998,25703,{},"[Verse 1]
Eleven point four on a Tuesday track
A tailwind that was possibly illegal
A stopwatch held by a man named Jack
Who has since become quite regal

[Chorus]
My personal best was in 1998
My personal best is a ghost
I have run ten thousand times since then
And I have never come close",96,en,en,en
"Yoga Class, Structural Failure",pop,The Kleenex Regrets,2015,41660,{},"[Verse 1]
Downward dog, I found the pose
Warrior two, I held the line
Something in my lower back
Said ""this is where we resign""

[Chorus]
Yoga class, structural failure
Yoga class, load-bearing wail
I have found my centre and my centre
Is currently on sick leave and frail",97,en,en,en
The Trophy Is for Attendance,country,Waylon Prickle,2007,22890,{},"[Verse 1]
It's gold, it's tall, it's got my name
It sits above the fire
It says ""PARTICIPANT, 1991""
In a slightly smaller wire

[Chorus]
The trophy is for attendance
The trophy is for showing up
And I showed up, and I showed up
And I filled the whole damn cup",98,en,en,en
"Marathon, But Walking, But Slowly",rb,Soap Anderson,2018,37014,{},"[Verse 1]
The elites finished, the crowds went home
The barriers came down at four
The man with the sponge went off for his tea
And I passed kilometre four

[Chorus]
Marathon, but walking, but slowly
Marathon, but out of the way
I will finish this thing on Thursday
And nobody has to stay",99,en,en,en
"Referee, You Have a Family",rock,Gandalf's Cousin Terry,2003,46220,{},"[Verse 1]
I have shouted things I do not mean
At a man in a fluorescent green
He has a house, he has a cat
He drove two hours to be called that

[Chorus]
Referee, you have a family
Referee, you have a life
I am sorry for the ninth minute
And what I said about your wife",100,en,en,en
